Kolk M.; Andersson L.; Pettersson E.; and Drefahl S. (2021). The Swedish Kinship Universe – A demographic account of the number of children parents siblings grandchildren grandparents aunts/uncles nieces/nephews and cousins using national population registers. Stockholm Research Reports in Demography 28. doi:10.17045/sthlmuni.17704988.v1.,,
The data includes the data from the study based on Swedish born indivudals resident in Sweden 2018. The data is from figure 11 in the working paper.,,
,,
cohort,mean,kin
1958,0.001816267,grandparents
1959,0.002640712,grandparents
1960,0.00428086,grandparents
1961,0.006178269,grandparents
1962,0.009730282,grandparents
1963,0.013615495,grandparents
1964,0.0194144,grandparents
1965,0.027295196,grandparents
1966,0.037967857,grandparents
1967,0.050151464,grandparents
1968,0.060855183,grandparents
1969,0.075542404,grandparents
1970,0.096184971,grandparents
1971,0.121500208,grandparents
1972,0.152051937,grandparents
1973,0.183897018,grandparents
1974,0.227679769,grandparents
1975,0.268417552,grandparents
1976,0.311756773,grandparents
1977,0.360116807,grandparents
1978,0.409189215,grandparents
1979,0.462538426,grandparents
1980,0.531220499,grandparents
1981,0.603339037,grandparents
1982,0.679233859,grandparents
1983,0.76544109,grandparents
1984,0.853013896,grandparents
1985,0.951410624,grandparents
1986,1.063456826,grandparents
1987,1.175082807,grandparents
1988,1.297366755,grandparents
1989,1.416265807,grandparents
1990,1.530826198,grandparents
1991,1.633751587,grandparents
1992,1.719009186,grandparents
1993,1.796448428,grandparents
1994,1.888310169,grandparents
1995,1.969329035,grandparents
1996,2.060263837,grandparents
1997,2.147279924,grandparents
1998,2.21456564,grandparents
1999,2.303143678,grandparents
2000,2.391569118,grandparents
2001,2.457574233,grandparents
2002,2.532780596,grandparents
2003,2.596720435,grandparents
2004,2.640719592,grandparents
2005,2.6868468,grandparents
2006,2.73783364,grandparents
2007,2.759706261,grandparents
2008,2.778200692,grandparents
2009,2.804930499,grandparents
2010,2.820692458,grandparents
2011,2.83117784,grandparents
2012,2.839794468,grandparents
2013,2.833325887,grandparents
2014,2.82389441,grandparents
2015,2.800886651,grandparents
2016,2.761531715,grandparents
2017,2.766805773,grandparents
